season,week,home_team,away_team,total_line,tot,h_keyrec,a_keyrec,h_def,a_def,off_trigger,def_trigger,over_play,over
2018,14,CLE,CAR,48.0,46.0,0.0,0.0,0.9127272727272726,0.0,0,0,0,0.0
2018,14,LAC,CIN,48.5,47.0,0.0,0.0,1.2820833333333332,1.678,0,1,1,0.0
2018,14,SF,DEN,45.5,34.0,0.0,0.0,0.8685714285714285,1.7604772727272728,0,1,1,0.0
2018,14,ARI,DET,40.0,20.0,0.0,0.0,0.3377777777777778,0.006,0,0,0,0.0
2018,14,HOU,IND,49.5,45.0,0.0,0.0,0.0,0.584,0,0,0,0.0
2018,14,CHI,LA,50.5,21.0,0.0,0.0,0.035454545454545454,0.0,0,0,0,0.0
2018,14,MIA,NE,49.5,67.0,0.0,0.0,0.9918181818181818,0.0,0,0,0,1.0
2018,14,TB,NO,55.0,42.0,0.0,0.0,2.3532323232323233,0.0,0,1,1,0.0
2018,14,WAS,NYG,40.5,56.0,0.0,0.0,0.19454545454545455,0.0,0,0,0,1.0
2018,14,BUF,NYJ,37.0,50.0,0.0,0.0,0.571,0.0,0,0,0,1.0
2018,14,DAL,PHI,46.0,52.0,0.0,0.0,1.1175,1.977142857142857,0,1,1,1.0
2018,14,OAK,PIT,51.0,45.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,14,SEA,MIN,45.5,28.0,0.0,0.0,0.855,0.759,0,0,0,0.0
2018,15,KC,LAC,54.0,57.0,0.0,0.0,0.0,1.2820833333333332,0,0,0,1.0
2018,15,DEN,CLE,47.0,33.0,0.0,0.0,1.5127272727272727,0.9127272727272726,0,1,1,0.0
2018,15,NYJ,HOU,44.0,51.0,0.0,0.0,0.242,0.0,0,0,0,1.0
2018,15,ATL,ARI,43.5,54.0,0.0,0.0,0.435,0.0,0,0,0,1.0
2018,15,IND,DAL,47.0,23.0,0.0,0.0,0.73025,0.46,0,0,0,0.0
2018,15,BUF,DET,40.0,27.0,0.0,0.0,0.3516666666666666,0.6041666666666666,0,0,0,0.0
