coach,n_big_drives,tempo_big,tempo_neutral,tempo_delta,pass_big,pass_neutral,pass_delta,starter_share_q4,n_q4_dropbacks,pts_drive_big,expansion_med,n_big_games,go4_rate,n_go4,hammer
Kirby Smart,45.0,28.625,28.166666666666668,0.45833333333333215,0.45454545454545453,0.4788732394366197,-0.02432778489116516,0.0425531914893617,47.0,3.3777777777777778,17.0,11.0,0.375,8.0,0.15587095198800566
Luke Fickell,14.0,25.166666666666668,24.8,0.36666666666666714,0.46938775510204084,0.47096774193548385,-0.0015799868334430145,0.47368421052631576,19.0,2.0714285714285716,14.0,4.0,0.0,1.0,0.14165066375124669
Brent Venables,35.0,27.666666666666668,21.75,5.916666666666668,0.448,0.5,-0.05199999999999999,0.7037037037037037,27.0,2.8,14.0,7.0,0.5,8.0,0.1123525609361697
Dabo Swinney,20.0,24.444444444444443,24.32142857142857,0.12301587301587347,0.5625,0.43636363636363634,0.12613636363636366,0.1,30.0,2.8,7.0,5.0,0.8,5.0,0.11230326283591521
Ryan Day,36.0,30.75,26.041666666666664,4.708333333333336,0.3548387096774194,0.4978540772532189,-0.14301536757579952,0.20588235294117646,34.0,3.7222222222222223,24.5,8.0,0.5,8.0,0.10441208521273357
Jeff Traylor,12.0,32.208333333333336,22.166666666666668,10.041666666666668,0.5,0.5423728813559322,-0.0423728813559322,0.6153846153846154,13.0,3.6666666666666665,15.5,2.0,0.3333333333333333,3.0,0.09694764646200749
Marcus Freeman,17.0,31.857142857142858,28.38095238095238,3.476190476190478,0.3880597014925373,0.39768339768339767,-0.009623696190860342,0.058823529411764705,17.0,3.4705882352941178,18.0,5.0,0.5,4.0,0.08471752195576665
Mike Gundy,17.0,20.5,23.493055555555557,-2.993055555555557,0.49019607843137253,0.5955056179775281,-0.10530953954615557,0.35,20.0,2.235294117647059,14.0,3.0,0.3333333333333333,12.0,0.06177224287208026
Danny Gonzales,10.0,32.35,31.545454545454547,0.8045454545454547,0.19047619047619047,0.41935483870967744,-0.22887864823348697,,4.0,3.5,20.5,2.0,0.3333333333333333,3.0,0.038206496040494614
Jim Harbaugh,32.0,30.029761904761905,30.77777777777778,-0.7480158730158735,0.3380281690140845,0.3870967741935484,-0.049068605179463876,0.0,23.0,3.28125,14.0,7.0,0.3333333333333333,9.0,0.037118210368813666
Joey McGuire,28.0,24.75,20.0,4.75,0.47413793103448276,0.5306122448979592,-0.056474313863476455,0.0,25.0,3.1785714285714284,27.0,5.0,0.2,5.0,0.03430400554601056
Bill O'Brien,12.0,30.616666666666667,29.53846153846154,1.078205128205127,0.09302325581395349,0.5555555555555556,-0.4625322997416021,,6.0,4.083333333333333,33.0,2.0,0.3333333333333333,3.0,0.032078598403105785
Sonny Dykes,25.0,25.0,21.1,3.8999999999999986,0.4177215189873418,0.5076923076923077,-0.08997078870496589,0.2,25.0,3.2,21.0,5.0,0.5,6.0,0.02542823124489777
Rhett Lashlee,20.0,24.25,20.957142857142856,3.2928571428571445,0.35514018691588783,0.5227272727272727,-0.16758708581138487,0.6363636363636364,22.0,3.6,8.0,5.0,0.7777777777777778,9.0,0.021849218345430455
Barry Odom,11.0,23.333333333333332,25.22222222222222,-1.8888888888888893,0.13513513513513514,0.3617021276595745,-0.22656699252443935,,4.0,4.2727272727272725,5.0,2.0,0.6,5.0,-0.02716483724543428
Eli Drinkwitz,24.0,30.0,26.666666666666668,3.333333333333332,0.3135593220338983,0.4318181818181818,-0.11825885978428352,0.2608695652173913,23.0,3.7083333333333335,12.0,6.0,0.5555555555555556,9.0,-0.05293614080454127
Kirk Ferentz,10.0,30.022727272727273,28.384615384615383,1.6381118881118901,0.2391304347826087,0.37662337662337664,-0.13749294184076793,0.3333333333333333,15.0,3.4,10.0,5.0,0.3,10.0,-0.07104251212670254
Steve Sarkisian,32.0,26.875,27.0,-0.125,0.3178294573643411,0.4338235294117647,-0.11599407204742362,0.25,28.0,2.5,15.5,8.0,1.0,4.0,-0.08738467242488857
Mike Elko,15.0,28.333333333333332,25.75,2.583333333333332,0.3472222222222222,0.3620689655172414,-0.014846743295019171,0.0,20.0,3.7333333333333334,9.0,4.0,0.42857142857142855,7.0,-0.08833666391762714
