coach,n_big_drives,tempo_big,tempo_neutral,tempo_delta,pass_big,pass_neutral,pass_delta,starter_share_q4,n_q4_dropbacks,pts_drive_big,expansion_med,n_big_games,go4_rate,n_go4,hammer
Mike Gundy,43.0,27.607142857142858,23.477272727272727,4.129870129870131,0.3161290322580645,0.5134431916738942,-0.1973141594158297,0.45454545454545453,33.0,2.5813953488372094,4.0,10.0,0.3125,16.0,-0.5068567519105682
Mike Locksley,57.0,28.65277777777778,25.571428571428573,3.0813492063492056,0.3771186440677966,0.5628458498023715,-0.1857272057345749,0.3793103448275862,58.0,2.4035087719298245,3.0,16.0,0.5454545454545454,22.0,-0.5922750488214892
Dan Mullen,35.0,28.25,27.0,1.25,0.3442622950819672,0.4823529411764706,-0.1380906460945034,0.5416666666666666,24.0,1.5714285714285714,0.0,7.0,0.6666666666666666,6.0,-0.6132139181769237
Ricky Rahne,41.0,30.0,25.0,5.0,0.23756906077348067,0.4426605504587156,-0.20509148968523494,0.18181818181818182,11.0,2.902439024390244,7.0,10.0,0.35,20.0,-0.616864085619757
Bret Bielema,38.0,34.2,26.92857142857143,7.271428571428572,0.21511627906976744,0.4203691045796309,-0.20525282550986346,0.7037037037037037,27.0,2.263157894736842,4.0,13.0,0.4166666666666667,12.0,-0.6287350216669643
Mike Elko,53.0,31.0,27.75,3.25,0.3482587064676617,0.43137254901960786,-0.08311384255194615,0.18421052631578946,38.0,2.4716981132075473,0.0,19.0,0.5833333333333334,12.0,-0.6517704120588952
Kirk Ferentz,52.0,31.8,28.75,3.0500000000000007,0.26666666666666666,0.3724340175953079,-0.10576735092864126,0.4772727272727273,44.0,1.6923076923076923,0.0,17.0,0.47058823529411764,17.0,-0.6858601133973068
Sonny Dykes,61.0,29.666666666666668,23.25,6.416666666666668,0.3562231759656652,0.524349566377585,-0.1681263904119198,0.37142857142857144,70.0,2.721311475409836,2.0,20.0,0.5,16.0,-0.7377730130285861
Kalani Sitake,37.0,33.666666666666664,27.7125,5.954166666666666,0.24444444444444444,0.486712224753227,-0.24226778030878257,0.7619047619047619,21.0,1.7837837837837838,3.0,14.0,0.5,24.0,-0.8016604737610548
Sam Pittman,33.0,32.166666666666664,25.2,6.966666666666665,0.25396825396825395,0.38580527752502275,-0.1318370235567688,0.3684210526315789,19.0,2.090909090909091,3.0,11.0,0.46153846153846156,13.0,-0.8775843578646398
Jeff Traylor,79.0,29.25,23.11111111111111,6.138888888888889,0.3509933774834437,0.4993368700265252,-0.1483434925430815,0.2413793103448276,58.0,2.3037974683544302,0.0,24.0,0.45454545454545453,22.0,-1.0615934102098623
Andy Avalos,40.0,30.818181818181817,25.0,5.818181818181817,0.19767441860465115,0.3872901678657074,-0.18961574926105626,0.23076923076923078,13.0,2.175,3.0,13.0,0.3,10.0,-1.0643733338994856
Rick Stockstill,36.0,34.57142857142857,24.416666666666664,10.154761904761905,0.2786885245901639,0.5437908496732026,-0.26510232508303866,0.6666666666666666,24.0,1.8611111111111112,7.0,11.0,0.5333333333333333,15.0,-1.06682273751878
Tim Albin,38.0,34.416666666666664,28.916666666666668,5.4999999999999964,0.2532467532467532,0.4257925072046109,-0.1725457539578577,0.42857142857142855,14.0,1.7105263157894737,0.0,14.0,0.3333333333333333,9.0,-1.1076142825702557
Chuck Martin,34.0,37.888888888888886,29.38095238095238,8.507936507936506,0.11724137931034483,0.4691075514874142,-0.35186617217706934,,8.0,2.823529411764706,1.5,14.0,0.46153846153846156,13.0,-1.672483474231265
