feature,n,pearson,spearman,q1_mean,q4_mean,q4_minus_q1
DELTA_off_off_pass_sr,3428,-0.051892995647766685,-0.032934920013826044,0.2428997533064026,-0.8312785703979514,-1.074178323704354
off_cpoe_last3,3428,-0.05153841036235532,-0.045847383051189614,0.5923495742774962,-0.7250803754931121,-1.3174299497706083
off_throwaway_rate_s2d,1764,-0.0433988653199116,-0.04775756211442237,0.6300515287349495,0.11447505922427464,-0.5155764695106748
off_rush_success_rate_last3,3428,-0.042493498922186665,-0.045336896985715934,0.48437998000069066,-0.8459863170465802,-1.330366297047271
off_rush_efficiency_s2d,3428,0.0383758786603735,0.030792099682051745,-0.6124731167351856,0.5234180769423228,1.1358911936775082
off_cpoe_s2d,3428,-0.03820513722183482,-0.03112597125512035,0.3586215731716181,-1.1170771031718572,-1.4756986763434752
DELTA_off_off_cpoe,3428,-0.03642130492877463,-0.03088459418583323,0.23613314148692985,-0.6474984525352828,-0.8836315940222127
off_plays_per_drive_s2d,3428,-0.03527061083840375,-0.019701395674304824,0.0024741733607167794,-0.41527089446545323,-0.41774506782617
off_oop_rate_s2d,1764,-0.030506935756194193,-0.034429101607808946,0.2849148714368487,0.05210712270957411,-0.23280774872727458
def_early_down_pass_epa_allowed_s2d,3428,0.0280075385965156,0.026596421030723426,-0.23593986917662635,0.05918828158253253,0.2951281507591589
def_pass_epa_s2d,3428,0.027876920858332325,0.030268434615587526,-0.5934834595178207,-0.203347149559186,0.3901363099586347
def_ed_pass_epa_allowed_s2d,3428,0.02783344942804514,0.02637925576975196,-0.21606433436526892,0.05918828158253253,0.2752526159478015
off_motion_rate_s2d,1764,-0.02747196845864969,-0.026370302216573892,0.19049129358410957,-0.25763446495765746,-0.44812575854176706
def_pass_epa_allowed_neutral_s2d,3428,0.02672895470928389,0.02124811578741536,-0.6750983036194336,-0.31282062865823995,0.3622776749611936
def_rush_epa_s2d,3428,-0.02647625468517177,-0.020265522626407795,0.11645573729333054,-0.33616883744642406,-0.4526245747397546
def_blitz_rate_s2d,1764,-0.026430639482105847,-0.0073018318006539545,-0.1792896534111442,-0.7632975669348112,-0.584007913523667
cv_against,3428,-0.025793716572992408,-0.020103617556732723,-0.15958636044782368,-0.35891676991502347,-0.1993304094671998
off_screen_rate_s2d,1764,0.024084917846202373,0.02563996125028323,-0.2611252675449406,0.13521033528062645,0.396335602825567
sos_off_recent_shift,3428,-0.022522328968633164,-0.024127054012927196,-0.18119959800497248,-0.9121106884967878,-0.7309110904918152
off_proe_s2d,3428,-0.02202025928336276,-0.01408857595679266,-0.203572405427823,-0.6061192333638155,-0.40254682793599245
def_pass_success_allowed_s2d,3428,0.022002922738134277,0.016025519188586957,-0.6735202817267837,-0.3059912921531499,0.3675289895736338
def_pass_sr_allowed_s2d,3428,0.021339408268028454,0.01537428553738375,-0.6585420277753675,-0.3059912921531499,0.3525507356222176
off_drive_turnover_rate_s2d,3428,0.020968544614058626,0.023502320017196852,-0.7847555688763228,0.14501932688867994,0.9297748957650027
off_drive_to_rate_s2d,3428,0.020751462210764945,0.02339871587163644,-0.7847555688763228,0.14501932688867994,0.9297748957650027
off_ryoe_s2d,3428,-0.020373027630072503,-0.024130107472995196,-0.243668576641616,-0.49399102353613733,-0.2503224468945213
off_pa_rate_s2d,1764,-0.020150420901879487,-0.012229750188103452,0.08182636907284659,-0.054209223313444015,-0.1360355923862906
off_rpo_rate_s2d,1764,-0.02002676751789818,-0.011703990716501073,0.0007227279096552702,-0.38442567620080736,-0.38514840411046264
off_time_to_throw_s2d,3428,-0.019868027107123667,-0.02766900058391382,-0.06295093476803205,-0.687850288534826,-0.624899353766794
sos_def_recent_shift,3428,0.019486742790048125,0.01331902008509635,-0.32841268723192685,-0.020412436305455493,0.3080002509264714
def_explosive_pass_allowed_s2d,3428,0.019352848947361546,0.012610574100642952,-0.38084965552971717,-0.010059720788295494,0.3707899347414217
DELTA_off_off_rush_success_rate,3428,-0.019036240596692875,-0.02126015436752432,-0.027065153373988748,-0.38665950120150827,-0.35959434782751953
def_pass_epa_last3,3428,0.018715115544398524,0.02356107994569694,-0.6094240675115804,-0.169639175899088,0.4397848916124924
def_motion_epa_allowed_s2d,1764,-0.018709123380524526,-0.00948431925890501,0.1397546598408523,-0.15768596353330255,-0.2974406233741549
last3_for_resid,3428,0.01844693670383966,0.014170333464543884,-0.6145128257898435,-0.25828741953895945,0.356225406250884
off_intended_ay_s2d,3428,-0.01763114542891476,-0.012878104620466022,-0.5011890973255407,-0.7804887748101711,-0.27929967748463036
off_shotgun_rate_s2d,1764,-0.015841630252955857,-0.011705284866390215,-0.011575533238145716,-0.2690047097273147,-0.257429176489169
def_pa_epa_allowed_s2d,1764,0.01563197583056617,0.01085830844304229,0.10381490430852269,0.41786476208982054,0.31404985778129785
off_three_and_out_rate_s2d,3428,-0.015176669466415276,-0.02122601657293908,-0.40981512921708574,-0.8163204135553501,-0.4065052843382644
off_stacked_box_s2d,3428,-0.014321987103040204,-0.021171118302953533,0.22929133884244035,-0.4336730097639617,-0.6629643486064021
