phase,feature,rule,market,disc_n,disc_roi,disc_z,val_n,val_roi,val_excess,val_z
all,d_d5_win,d_d5_win <= -0.2398,fg_spread_fav,460,5.842631682753563,2.123785,451,-0.5534243769943714,4.760769382119179,1.0590534
stretch,h_l3_gtot_vs_line,h_l3_gtot_vs_line <= -9.167,fg_spread_home,229,5.861933529376984,2.1740725,221,5.406268686056137,6.756977736949921,1.0523124
early,d_streak_ats,d_streak_ats < 0,fg_spread_away,188,10.745381563901901,2.3686376,175,-1.699903979897499,7.55675882101059,1.0474921
all,a_d5_h1m,a_d5_h1m >= 5.831,fg_ml_fav,238,7.371040433645248,2.2745981,249,-0.4776556510478258,4.4383663684129715,1.0448378
gp25,d_l5_margin,d_l5_margin <= -15.2,fg_spread_fav,175,15.649349987506866,2.6836553,207,3.2583441585302353,6.885063648223877,1.0376787
veryLate,d_s2d_h1m,d_s2d_h1m < 0,fg_ml_fav,278,4.063534364104271,2.0187664,237,3.993750736117363,4.095611348748207,1.0376114
stretch,st_days_to_deadline,st_days_to_deadline >= 43,fg_total_over,339,4.181098937988281,2.3023865,385,6.12235963344574,5.021189525723457,1.0339471
stretch,gbr_h,gbr_h <= -0.1765,fg_spread_dog,225,6.053594127297401,2.024239,225,-0.690190214663744,6.580713391304016,1.0337974
postdl,st_d_playin_edge,st_d_playin_edge <= -6.95,h1_total_over,151,9.773921966552734,2.0777462,305,1.9134093075990677,5.640869587659836,1.0331197
all,d_trav_km,d_trav_km >= 777.9,fg_spread_away,247,8.21826159954071,2.1113894,257,0.38542822003364563,6.12875409424305,1.0287968
postdl,a_km_14d,a_km_14d <= 3882,fg_spread_home,173,7.054189592599869,2.1156461,161,6.819336116313934,7.7316924929618835,1.027841
all,a_l10_margin,a_l10_margin >= 5.7,h1_spread_fav,270,10.585863143205643,2.059566,530,-2.4793779477477074,4.253853112459183,1.0269498
all,pair_l5_oum,pair_l5_oum <= -4.445,h1_spread_away,222,9.133382141590118,2.2544146,444,1.4694906771183014,4.642852768301964,1.0244027
mid,h_alt_m,h_alt_m >= 229,fg_spread_dog,201,7.392128556966782,2.1675196,196,6.252405792474747,6.974254548549652,1.0229052
gp50,d_l5_win,d_l5_win <= -0.4,fg_spread_fav,205,12.687550485134125,2.0896926,201,9.193801879882812,6.861920654773712,1.0217991
postdl,a_d3_win,a_d3_win <= -0.2435,fg_ml_away,176,24.535490572452545,2.164348,195,-1.9578834995627403,9.364507347345352,1.0151163
gp25,gbr_h,gbr_h >= 0.1765,fg_ml_fav,527,2.672032080590725,2.382707,635,-1.835121400654316,2.6770005002617836,1.0150518
mid,meet_n,meet_n == 2,tt_away_under,141,3.409348428249359,2.343692,362,-0.20902485121041536,5.0623055547475815,1.0132191
late,d_l5_over,d_l5_over > 0,tt_home_under,125,22.416764497756958,2.0202613,209,1.6366852447390556,6.645172089338303,1.0111686
early,h_l3_atsm,h_l3_atsm > 0,fg_ml_home,177,14.290764927864075,2.156111,175,6.779588758945465,7.6034218072891235,1.0106713
