market,cut,venue,n,win,roi,blind_win,blind_roi,delta
player_steals,top10%,cons,2635,68.88045540796965,0.6299274379433445,65.88235294117646,1.0688165604955104,-0.43888912255216594
player_steals,top10%,best,2652,68.89140271493213,2.100316980126037,66.51583710407239,2.8403383214729043,-0.7400213413468673
player_steals,top5%,cons,1318,70.56145675265554,2.6033779919961515,68.74051593323217,2.913830520893265,-0.3104525288971134
player_steals,top5%,best,1326,70.66365007541478,4.22251252387264,69.07993966817496,4.424512898760144,-0.20200037488750322
player_threes,top100%,cons,38595,57.15507190050525,-5.350760947485819,53.25301204819277,-3.466810421215343,-1.8839505262704757
player_threes,top100%,best,38682,57.39879013494649,-2.74658548253182,54.5835272219637,-0.615403917963592,-2.131181564568228
player_threes,top50%,cons,19298,61.17732407503368,-4.551776739238692,55.12488340760701,-4.03772797506947,-0.514048764169222
player_threes,top50%,best,19341,61.23778501628665,-2.3348588773613907,56.59479861434259,-1.6038684198783748,-0.7309904574830159
player_threes,top25%,cons,9649,63.96517773862577,-3.5479242103138615,57.63291532801327,-3.2108287821657138,-0.33709542814814775
player_threes,top25%,best,9671,63.97476993072071,-1.6075258035100661,58.88739530555268,-1.2343382307815276,-0.37318757272853853
player_threes,top10%,cons,3860,66.81347150259067,-3.0703251380376866,60.829015544041454,-3.4603869637059423,0.39006182566825576
player_threes,top10%,best,3869,66.78728353579736,-1.4172403718125577,61.74722150426467,-1.6557586750770976,0.23851830326453993
player_threes,top5%,cons,1930,70.98445595854922,-0.7836113692565285,65.4922279792746,-3.1857573924286995,2.402146023172171
player_threes,top5%,best,1935,71.0077519379845,0.716053971332481,66.09819121447028,-1.8626368384644658,2.5786908097969468
