market,cut,venue,n,win,roi,blind_roi,delta,mae_blend,mae_line,mae_model
player_points_assists,top10%,second,2820,51.241134751773046,-4.156185428724221,0.9230227335124996,-5.079208162236721,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top5%,cons,1688,51.362559241706165,-0.14002321031986253,2.7489161321902165,-2.888939342510079,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top5%,best,1695,51.209439528023594,-3.719979559777409,4.292524318076165,-8.012503877853574,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_assists,top5%,second,1410,53.652482269503544,0.4242581594074871,4.895999626064977,-4.47174146665749,5.440981025931238,5.4366255509214065,5.494019809933813
player_points_rebounds,top100%,cons,35776,50.47238372093024,-4.074286106034234,-4.144416533223951,0.07013042718971718,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top100%,best,35947,50.58141152251926,-5.091763920792884,-1.2909556117001955,-3.8008083090926883,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top100%,second,33016,50.64968500121154,-5.06384789145741,-3.324810987614187,-1.739036903843223,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top25%,cons,8954,50.06700915791825,-3.6019393860934326,-3.5552644439379444,-0.046674942155488175,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top25%,best,8988,50.17801513128616,-5.750253007419384,-0.8500122286555074,-4.900240778763877,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top25%,second,8254,50.599709231887566,-5.149402698853532,-3.024236363592811,-2.1251663352607206,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top10%,cons,3577,50.79675705898797,-1.942171602566415,-0.6292045233067701,-1.312967079259645,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top10%,best,3596,50.820355951056726,-4.488594909597424,1.8412155821273006,-6.329810491724725,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top10%,second,3302,51.559660811629314,-3.340614939515768,-0.5137728027399203,-2.8268421367758476,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top5%,cons,1790,50.78212290502794,-2.267153389627041,0.2143926127662872,-2.481546002393328,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top5%,best,1798,50.77864293659621,-4.500857807770454,2.439177798747486,-6.94003560651794,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds,top5%,second,1651,52.66505148394912,-1.2390715580575762,0.9709460528816765,-2.2100176109392526,5.822688774215612,5.819831974851866,5.8773803815819115
player_points_rebounds_assists,top100%,cons,37655,49.84995352542823,-5.554257851485285,-4.284768056432623,-1.269489795052662,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top100%,best,37797,50.02910283884964,-6.148461611191362,-1.1414377835136458,-5.007023827677716,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top100%,second,34789,50.0028744718158,-6.252475773298908,-3.1620427856893794,-3.0904329876095287,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top25%,cons,9420,49.968152866242036,-4.156622849958464,-3.909018930609312,-0.24760391934915216,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top25%,best,9450,50.15343915343915,-5.902605341855811,-1.021081352990771,-4.881523988865039,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top25%,second,8698,49.908024833295016,-6.493337961908701,-3.2100470689938905,-3.28329089291481,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top10%,cons,3770,50.76923076923077,-2.4058377268459816,-3.027416913515693,0.6215791866697113,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top10%,best,3780,50.5952380952381,-4.971196066450189,-0.6289944320759445,-4.342201634374245,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top10%,second,3479,50.84794481172751,-4.713579543742273,-1.5683915362203216,-3.145188007521951,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top5%,cons,1888,50.26483050847458,-3.4304318223464287,-3.660449139395003,0.2300173170485742,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top5%,best,1890,50.0,-6.00313849865444,-1.0788291913491708,-4.924309307305269,6.194056963422125,6.19131147974707,6.244226984618212
player_points_rebounds_assists,top5%,second,1740,50.632183908045974,-5.215281433072584,-1.7212899868515719,-3.4939914462210124,6.194056963422125,6.19131147974707,6.244226984618212
player_rebounds,top100%,cons,37697,47.08597501127411,-5.708258419602032,-3.4908083527683376,-2.2174500668336945,2.004919195741445,2.0108273181565797,2.0097066521235996
player_rebounds,top100%,best,37821,48.603950186404376,-8.346409528304191,0.22281766306581435,-8.569227191370006,2.004919195741445,2.0108273181565797,2.0097066521235996
