market,variant,model,top,n,win,roi,corr,mae_model,mae_mkt,per
h1_total,raw,cat,top5%,128,45.3125,-13.395392950885613,0.009590329239686632,9.696358926280983,9.2248046875,44/46
h1_total,raw,lgbm_clf,top100%,2537,49.5072920772566,-5.507792175553465,-0.02105280872210899,,,50/49
h1_total,raw,lgbm_clf,top50%,1271,48.151062155782846,-8.099559343997852,-0.02105280872210899,,,49/47
h1_total,raw,lgbm_clf,top25%,634,46.68769716088328,-10.892081568334358,-0.02105280872210899,,,50/43
h1_total,raw,lgbm_clf,top10%,254,44.48818897637795,-15.134263696593484,-0.02105280872210899,,,43/47
h1_total,raw,lgbm_clf,top5%,127,40.15748031496063,-23.370462812713015,-0.02105280872210899,,,41/38
h1_total,raw,hgb_clf,top100%,2537,49.073709105242415,-6.318697259478498,0.014784370797147391,,,49/49
h1_total,raw,hgb_clf,top50%,1269,49.1725768321513,-6.122400651487111,0.014784370797147391,,,49/49
h1_total,raw,hgb_clf,top25%,634,50.0,-4.533252978058831,0.014784370797147391,,,50/50
h1_total,raw,hgb_clf,top10%,253,49.80237154150198,-4.90445678266967,0.014784370797147391,,,48/53
h1_total,raw,hgb_clf,top5%,126,47.61904761904761,-9.10806285306077,0.014784370797147391,,,51/38
h1_total,raw,stack,top100%,2537,51.005124162396534,-2.6492375717589978,0.008867380028438067,9.702164846954378,9.2248046875,51/51
h1_total,raw,stack,top50%,1267,50.43409629044988,-3.7513035393778886,0.008867380028438067,9.702164846954378,9.2248046875,50/50
h1_total,raw,stack,top25%,634,50.473186119873816,-3.6825177387427286,0.008867380028438067,9.702164846954378,9.2248046875,51/50
h1_total,raw,stack,top10%,254,49.21259842519685,-6.054682404946829,0.008867380028438067,9.702164846954378,9.2248046875,54/47
h1_total,raw,stack,top5%,127,44.09448818897638,-15.87437172521656,0.008867380028438067,9.702164846954378,9.2248046875,48/42
h1_total,raw,mean,top100%,2537,51.399290500591256,-1.8907579409720547,0.02088086772784401,9.64038651392859,9.2248046875,51/52
h1_total,raw,mean,top50%,1267,51.38121546961326,-1.9026763492338634,0.02088086772784401,9.64038651392859,9.2248046875,51/52
h1_total,raw,mean,top25%,636,50.786163522012586,-3.033113329523446,0.02088086772784401,9.64038651392859,9.2248046875,51/50
h1_total,raw,mean,top10%,253,47.03557312252965,-10.126510539953008,0.02088086772784401,9.64038651392859,9.2248046875,46/48
h1_total,raw,mean,top5%,128,42.1875,-19.327752172334826,0.02088086772784401,9.64038651392859,9.2248046875,36/47
h1_total,anchored,ridge,top100%,2537,50.847457627118644,-2.987637739323131,-0.002027958194743991,9.323086918043396,9.2248046875,50/51
h1_total,anchored,ridge,top50%,1264,51.50316455696202,-1.753826021614423,-0.002027958194743991,9.323086918043396,9.2248046875,51/52
h1_total,anchored,ridge,top25%,633,51.18483412322274,-2.4445772061099347,-0.002027958194743991,9.323086918043396,9.2248046875,52/50
h1_total,anchored,ridge,top10%,252,48.01587301587302,-8.56495866084132,-0.002027958194743991,9.323086918043396,9.2248046875,50/47
h1_total,anchored,ridge,top5%,125,41.6,-20.698956398628255,-0.002027958194743991,9.323086918043396,9.2248046875,39/44
h1_total,anchored,hgb,top100%,2537,50.059124950729206,-4.450235986914828,0.011301612801134155,9.583452721546584,9.2248046875,50/50
h1_total,anchored,hgb,top50%,1269,50.19700551615445,-4.213553502225753,0.011301612801134155,9.583452721546584,9.2248046875,50/50
h1_total,anchored,hgb,top25%,636,53.144654088050316,1.3929356436179092,0.011301612801134155,9.583452721546584,9.2248046875,52/54
h1_total,anchored,hgb,top10%,254,55.90551181102362,6.731625201136131,0.011301612801134155,9.583452721546584,9.2248046875,57/54
h1_total,anchored,hgb,top5%,127,55.118110236220474,5.309390565656448,0.011301612801134155,9.583452721546584,9.2248046875,53/59
h1_total,anchored,lgbm,top100%,2537,49.42845880961766,-5.65744219829003,0.011710136076766282,9.520707448047409,9.2248046875,50/48
h1_total,anchored,lgbm,top50%,1269,48.30575256107171,-7.811039031467132,0.011710136076766282,9.520707448047409,9.2248046875,50/47
h1_total,anchored,lgbm,top25%,635,52.59842519685039,0.36900271087978687,0.011710136076766282,9.520707448047409,9.2248046875,53/52
