market,model,mode,cut,venue,n,win,roi,blind_roi,delta
player_points_rebounds_assists,qreg,under,top10%,cons,4538,54.29704715733803,0.8725964797126297,-3.8007659125805713,4.673362392293201
player_points_rebounds_assists,qreg,under,top10%,best,4553,55.282231495717106,3.492340969824671,-0.769166722625308,4.261507692449979
player_points_rebounds_assists,qreg,under,top5%,cons,2269,54.51740855002204,1.2815650206087128,-3.8007659125805713,5.082330933189284
player_points_rebounds_assists,qreg,under,top5%,best,2277,55.55555555555556,4.015414757743236,-0.769166722625308,4.784581480368544
player_points_rebounds_assists,resid,mkt,top100%,cons,45373,51.15156590924118,-4.645609344638547,-3.8007659125805713,-0.8448434320579761
player_points_rebounds_assists,resid,mkt,top100%,best,45524,52.534926632106135,-1.7817784906973393,-0.769166722625308,-1.0126117680720312
player_points_rebounds_assists,resid,mkt,top25%,cons,11344,51.35754583921015,-4.43757268139102,-2.94656864405519,-1.4910040373358302
player_points_rebounds_assists,resid,mkt,top25%,best,11381,52.68429839205694,-1.480128327066267,0.4801704912694307,-1.9602988183356977
player_points_rebounds_assists,resid,mkt,top10%,cons,4538,51.93918025561921,-3.52602083812258,-0.8054149734022966,-2.7206058647202838
player_points_rebounds_assists,resid,mkt,top10%,best,4553,53.21765868658027,-0.46125851226277126,2.3780905569408746,-2.839349069203646
player_points_rebounds_assists,resid,mkt,top5%,cons,2269,52.97487880123403,-1.734094732182832,1.4595711951005717,-3.1936659272834036
player_points_rebounds_assists,resid,mkt,top5%,best,2277,54.106280193236714,1.0701833611054015,4.16157530963447,-3.0913919485290684
player_points_rebounds_assists,resid,abs,top100%,cons,45373,51.23531615718599,-4.862558093182487,-3.8007659125805713,-1.0617921806019162
player_points_rebounds_assists,resid,abs,top100%,best,45524,52.561286354450395,-2.012761165687022,-0.769166722625308,-1.243594443061714
player_points_rebounds_assists,resid,abs,top25%,cons,11350,51.94713656387665,-3.9166018364187907,-2.7706935731324855,-1.1459082632863051
player_points_rebounds_assists,resid,abs,top25%,best,11382,53.250746793182216,-0.8870836951531125,0.6150175672154753,-1.5021012623685879
player_points_rebounds_assists,resid,abs,top10%,cons,4545,52.233223322332236,-3.322637917840704,-1.1859952393669237,-2.1366426784737804
