pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,confluence,reg_edge,away_ab,home_ab,actual_margin,actual_total,win,clv_pts,roi_u
2023-W10-CLE@BAL-S,2023,10,CLE@BAL,sides_model,spread,CLE +5.5,0,-5.5,-6.0,-0.128,0.0,-0.94,CLE,BAL,-2,64,1.0,-0.5,0.9090909090909091
2023-W10-CLE@BAL-HLU,2023,10,CLE@BAL,total_high_line_under,total,UNDER 40.5,-2,40.5,38.0,17.17,,,CLE,BAL,-2,64,0.0,2.5,-1.0
2023-W10-DEN@BUF-S,2023,10,DEN@BUF,sides_model,spread,BUF -8.5,1,-8.5,-7.5,0.043,1.0,5.38,DEN,BUF,-2,46,0.0,-1.0,-1.0
2023-W10-CAR@CHI-S,2023,10,CAR@CHI,sides_model,spread,CHI -1.5,1,-1.5,-3.5,0.148,1.0,2.42,CAR,CHI,3,29,1.0,2.0,0.9090909090909091
2023-W10-CAR@CHI-O,2023,10,CAR@CHI,receiver_over,total,OVER 41,-1,41.0,38.0,36.8,,,CAR,CHI,3,29,0.0,-3.0,-1.0
2023-W10-CAR@CHI-PTF,2023,10,CAR@CHI,primetime_tight_favorite,spread,CHI -1.5,1,-1.5,-3.5,1.5,,,CAR,CHI,3,29,1.0,2.0,0.9090909090909091
2023-W10-CAR@CHI-PTU,2023,10,CAR@CHI,primetime_tight_under,total,UNDER 41,-2,41.0,38.0,41.0,,,CAR,CHI,3,29,1.0,3.0,0.9090909090909091
2023-W10-CAR@CHI-BBU,2023,10,CAR@CHI,bot_vs_bot_under,total,UNDER 41,-2,41.0,38.0,41.0,,,CAR,CHI,3,29,1.0,3.0,0.9090909090909091
2023-W10-HOU@CIN-S,2023,10,HOU@CIN,sides_model,spread,CIN -7.5,1,-7.5,-5.5,0.085,0.0,0.11,HOU,CIN,-3,57,0.0,-2.0,-1.0
2023-W10-HOU@CIN-O,2023,10,HOU@CIN,receiver_over_HC,total,OVER 44.5,-1,44.5,45.5,44.4,,,HOU,CIN,-3,57,1.0,1.0,0.9090909090909091
2023-W10-NYG@DAL-S,2023,10,NYG@DAL,sides_model,spread,DAL -10,1,-10.0,-17.5,0.034,1.0,3.27,NYG,DAL,32,66,1.0,7.5,0.9090909090909091
2023-W10-SF@JAX-S,2023,10,SF@JAX,sides_model,spread,SF -2.5,0,2.5,3.0,-0.22,1.0,-2.95,SF,JAX,-31,37,1.0,0.5,0.9090909090909091
2023-W10-DET@LAC-S,2023,10,DET@LAC,sides_model,spread,DET +1,0,-1.0,2.5,-0.21,1.0,-4.47,DET,LAC,-3,79,1.0,3.5,0.9090909090909091
2023-W10-NYJ@LV-S,2023,10,NYJ@LV,sides_model,spread,LV +2.5,1,2.5,1.0,0.111,1.0,6.42,NYJ,LV,4,28,1.0,1.5,0.9090909090909091
2023-W10-NYJ@LV-PTF,2023,10,NYJ@LV,primetime_tight_favorite,spread,NYJ -2.5,0,2.5,1.0,2.5,,,NYJ,LV,4,28,0.0,-1.5,-1.0
2023-W10-NYJ@LV-PTU,2023,10,NYJ@LV,primetime_tight_under,total,UNDER 36.5,-2,36.5,35.5,36.5,,,NYJ,LV,4,28,1.0,1.0,0.9090909090909091
2023-W10-NO@MIN-S,2023,10,NO@MIN,sides_model,spread,NO -2.5,0,2.5,3.0,-0.046,0.0,0.36,NO,MIN,8,46,0.0,0.5,-1.0
